timestamp,attackerIP,victimIP,attackerPort,victimPort,attackerAsset,victimAsset,eventName,eventType,attackerName,victimName,attackerMac,victimMac,attackerHost,victimHost,attackerNet,victimNet
2020-03-26 02:25:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:27:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:27:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:27:16,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:27:16,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:27:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:27:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:27:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:27:22,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:27:26,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:28:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:28:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:28:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:28:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:31:48,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:31:54,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:31:54,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:31:54,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:31:54,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:31:54,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:31:56,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:32:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:32:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:36:48,0.0.0.0,0.0.0.0,0,22,2,2,SSHd: Connection closed,Connection_Closed,,,,,,,,
2020-03-26 02:33:58,192.168.0.80,0.0.0.0,0,0,2,2,test_plugin: error,,Host-192-168-0-80,,507B9D0458A0,,421D8A7B5F5211EA893944A8C1DE527E,,9EC762E89EE685A5C49AA4530A8CCDB5,
2020-03-26 02:32:14,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
